-- nunca, non ... mai	jamais (sens nég.)
(a) la	là (direction)
nulitá	néant (qualité)
nulmente	nullement (ne...)
nulmente	ne...point (adv.)
nulmente	point du tout
nulo	néant
nulo	ne...rien
numer	nombre
numerar	numéroter
numero	numéro
numerose	nombreux (a.)
nunca	ne...jamais
nutrimente	nourriture
nutrimente	vivre (s., nourriture)
nutrisar	nourrir
nuzo	noyer (s.)
o	ou
oase	oasis
obeyance	obéissance
obeyante	obéissant
obeyar	obéir
obgecion	objection
obgectar	objecter
obgecte	objet
obgectiv	objectif (a. et s.)
obligacion	obligation
obligante	obligeance
obligar	obliger
obligatori	obligatoire
oblique	oblique (a.)
oblongue	oblong
obscur	foncé (opp. à clair)
obscur	obscur
obscur	sombre (obscur)
obscurar	obscurcir
obscuritá	obscurité
obsequiose	obséquieux
observacion	observation
observar	observer
observatorio	observatoire
obstacle	obstacle
obstinacion	obstination
obstinar se	s'obstiner
obtenar	obtenir
oca	oie
ocasion	occasion
ocasional	occasionnel
ocean	océan
Oceania	Océanie
ocidente	occident
oclares	lunettes (pl.)
ocle	oeil
ocles (pl.)	yeux (pl.)
octante	quatre-vingt(s)
octe	huit
octece	dix-huit
octobre	octobre
ocupacion	occupation
ocupar	occuper
ocupar se con	s'occuper
odiable	odieux
odiar	haïr
odie	haine
odiose	haineux
odor	odeur
odorar	sentir (avoir une odeur)
ofendar	offenser
ofense	offense
ofice	bureau (administration)
ofice	étude (de notaire, etc.)
ofice	office (sm.)
oficero	officier (s., mil., ordre)
oficial	officiel
ofrar	offrir
ofre	offre
oh!	oh!
olie	huile
Olimpe	Olympe
olimpiada	olympiade
olimpique	olympique
oliva	olive
ombre	ombre
omelete	omelette
omision	omission
omitar	omettre
omnibuse	omnibus
on	on
oncle	oncle
onion	oignon
ópera	opéra
operacion	opération
operar	opérer (vt., chir.)
operete	opérette
opinion	avis (opinion)
opinion	opinion
opinion	sens (opinion)
oportun	opportun
oposar	opposer
oposicion	opposition
oposite	opposite
oposite	à l'opposite (de)
oposite	vis-à-vis (pré., adv.)
opresar	opprimer
opresion	oppression
optimisme	optimisme
optimiste	optimiste
or	or (s. et adv.)
or bien	va (interj.)
ora	maintenant
oracion dominical	oraison dominicale
orangería	orangerie
oranja	orange
oranjada	orangeade
orden	ordre (de chevalerie, relig.)
ordin	ordre (disposition)
ordinar	ordonner (disposer, ecclés.)
ordinar	ranger (mettre en ordre)
ordinari	ordinaire (a.)
ordon	ordre (commandement)
ordonar	ordonner (commander)
orelie	oreille
orfan	orphelin, orpheline (a.)
orfan	orphelin (s.)
orfana	orpheline (s.)
organ	organe
organique	organique
organisacion	organisation
organisar	organiser
organisator	organisateur
organisme	organisme
organo	orgue (instrument)
orgie	orgie
orgolie	orgueil
orgoliose	orgueilleux
orientacion	orientation
oriental	oriental
orientar	orienter
oriente	orient (s.)
origin	origine
original	original
originari	originaire
ornamente	ornement
ornar	orner
ornar	parer (orner)
orquestre	orchestre
ortodoxe	orthodoxe
ortografía	orthographe
osar	oser
ose	os
ostre	huître
ovacion	ovation
oval	ovale
ove	oeuf
oveste	ouest
ovre	oeuvre (sf.)
ovre	ouvrage (produit)
ovre de maestre	chef-d'oeuvre
ovrera	ouvrière
ovrero	ouvrier
oxigen	oxygène
pace	paix
pacible	paisible
pacience	patience
paciente	patient (a. et s.)
pacificar	pacifier
pacifique	pacifique
pacifiste	pacifiste
pacte	pacte
paesage	paysage
paesan	paysan
paesana	paysanne
paese	pays
paese extranger	étranger (pays)
pagamente	paiement
pagan	païen
paganisme	paganisme
pagar	payer
page	page (sf.)
pajo	page (sm.)
pala	balle (mil.)
palace	palais (édifice)
Palestina	Palestine
palete	palette (de peintre)
paletó	paletot
paletó	pardessus
palidar	pâlir
palide	pâle
palidese	pâleur
palie	paille (sf.)
palmo	palmier (arbre)
palpebre	paupière
palpitar	palpiter
palude	marécage
pane	pain
panero	boulanger (s.)
panica	panique (s.)
panique	panique (a.)
panorama	panorama
pantalon	pantalon (vêtement)
panter	panthère
pantufle	pantoufle
papa	pape
papá	papa
papagaye	perroquet
paper	papier
papilion	papillon
paquete	paquet
par	paire
paracade	parachute
paracadiste	parachutiste
parada	parade
paradar	parader
paradise	paradis
paradoxe	paradoxe
parafoco	écran
paragrafe	paragraphe
paralel	parallèle
paralisar	paralyser
paralisía	paralysie
parapete	parapet
parapluvie	parapluie
parasite	parasite
parasole	ombrelle
parcar	parquer
parcial	partial
parcialitá	partialité
parciel	partiel
pardon	pardon
pardonar	pardonner
parente	parent (s.)
parentese	parenthèse
parí	pari
pariar	gager (parier)
pariar	parier
París	Paris
parisian	parisien
parlamente	parlement
parlar	parler (v.)
paroco	curé
parodía	parodie
parodiar	parodier
parol	mot
parol	parole
parol	terme (mot)
paroquia	paroisse
paroxisme	paroxysme
parque	parc
parquete	parquet (plancher)
parte	part
partada	départ
partar	partir
parte	partie (aussi mus., droit)
parte inferior	dessous (s., partie inférieure)
parte superior	dessus (s., partie supérieure)
partí	parti (s.)
partí	partie (com., de jeu, de chasse)
participar	participer
particulari	particulier (a.)
particularimente	notamment
pasa-porte	passeport
pasa-tempo	passe-temps
pasablemente	assez (passablement)
pasage	pas (passage)
pasage	passage
pasagero	passager (s.)
pasar	passer
pasar [per supre]	franchir (prop.)
pasar se	arriver (avoir lieu)
pasarel	passerelle
pasato	passé (s.)
Pascua	Pâques
pasero	moineau
pasero	passereau
pasion	passion
pasion	rage (passion)
pasionar	passioner
pasiv	passif (a.)
pasivitá	passivité
pasivo	passif (s.)
paso	pas (s.)
pastel	pastel
pastetería	pâtisserie
pastil	pastille
pastor	pasteur
pata	patte (d'animal)
patata	pomme de terre
Paternotre	Pater
patetique	pathétique (a.)
patinar	patiner
patre	père
patria	patrie
patriarche	patriarche
patriote	patriote (s.)
patriotique	patriotique
patriotisme	patriotisme
patron	patron (saint)
patrona	patronne (saint)
patrulie	patrouille
pausa	cesse
pava	dinde
pavato	pavé (partie pavée)
pavilion	pavillion (bâtiment)
pavon	paon
pavona	paonne
pavor	peur
payase	clown
payase	paillasse (sm.)
pecar	pécher
pecato	péché
pecator	pécheur
pecatora	pécheresse
pecte	gorge (poitrine)
pecte	poitrine
pecte	sein (poitrine)
pedagogique	pédagogique
pedagogue	pédagogue
pedal	pédale
pedante	pédant (s.)
pede	pied
pedicul	pou
pedicurista	pédicure (s.)
pedicuriste	pédicure (s.)
peinar	peigner
peinator	coiffeur
peinatora	coiffeuse
peine	peigne
pejo	pis
pejor	pire
pejorar	empirer
pel	peau
pelar	peler (vt., un fruit)
pelegrin	pèlerin
pelegrina	pèlerine
pelicul	pellicule
pelise	fourrure (préparée)
pelise	pelisse
pena	peine (effort, travail, drout)
pena	travail (peine)
penal	pénal
penar se	se peiner
pendante	pendant (s.)
pendar	pendre
penetrar	pénétrer
peninsul	péninsule
penose	pénible
pensar	penser (v.)
pensar	songer (penser)
pensator	penseur (s.)
pense	pensée
pensea	pensée (fleur)
pension	pension
pension	retraite (pension)
pensionar	pensionner
pensiv	pensif
Pentecoste	Pentecôte
per	par
per consecuence	par conséquent
per hasarde	par aventure
per supre	par-dessus (direction)
pera	poire
perbaco	parbleu
percente	pour-cent
percurar	parcourir
percurse	parcours
perdar	perdre
perde	perte
perfecion	perfection
perfecionar	perfectionner
perfecte	parfait (a. et s., gram.)
perfide	perfide
perforar	perforer
perfum	parfum
perfumar	parfumer
perifería	périphérie
peril	danger
peril	péril
perilose	dangereux
perimisme	pessimisme
periode	période (sf.)
periodique	périodique
perisar	périr
perle	perle
permanente	permanent
permise	permis (s.)
permision	permission
permitar	permettre
peron	perron
perpetual	perpétuel
perplexe	perplexe
perplexitá	perplexité
perque	parce que
persecuar	poursuivre
persecuence	poursuite
persecutar	persécuter
Persia	Perse
persian	persan (a.)
persica	pêche (fruit)
persil	persil
person	personne (s.)
personage	personnage
personal	personnel (a. et s.)
perspectiva	perspective
persuadar	persuader
perturbacion	perturbation
pertuto	partout
pervenar	parvenir
perverse	pervers
perversitá	perversité
perzar	percer (vt.)
pesante	lourd
pesar	peser
pese	poids
pesimiste	pessimiste (a. et s.)
peste	peste
peticion	pétition
petite	petit
petra	pierre
petrol	pétrole
pianiste	pianiste
piano	piano (s.)
pica	pie (oiseau)
picar	piquer (vt.)
picatur	piqûre (d'insecte)
piece	bout (fragment)
piece	morceau
piece	pièce (en gén.)
pietá	piété
pigre	paresseux
pigrese	paresse
pijama	pyjama
pil	poil
pilage	poil (pelage)
piliar	piller
pilotar	piloter (vt.)
pilote	pilote (prop.)
pilul	pilule
pincel	pinceau
pino	pin
pintar	peindre
pintor	peintre
pintoresque	pittoresque
pintur	peinture
pintur	tableau (peinture)
pinzar	pincer
piose	pieux
pipa	pipe (à fumer)
pipiar	piailler
pipre	poivre
pique	pique (arme, cartes)
piramide	pyramide
pirate	pirate
Pireneos	Pyrénées
piscada	pêche (action de pêcher)
piscar	pêcher
piscator	pêcheur
piscatora	pêcheuse
pise	pois
pisina	piscine
pisque	poisson
piton	python
placa	plaque
place	place
place de halte	arrêt (station)
place de halte	halte (lieu)
plafon	plafond
plage	plage (rivage)
plan	plan (a. et s.)
planar	planer (en l'air)
planca	planche (de bois)
planete	planète
planquera	plancher
plantacion	plantage
plantacion	plantation
plantar	planter
plante	plante
planur	plaine
plate	plat (a.)
platebande	plate-bande
plateforme	plate-forme
platel	plateau (à servir)
platin	platine (sm., métal)
plato	mets
plato	plat (s., mets, vaisselle)
plató	plateau (géogr.)
plazar	placer
ple	s'il te (vous) plaît (aussi)
plen	plein (a.)
plen	rempli (a.)
plenar	remplir
plentar	plaindre
plente	plainte
plesantar	plaisanter
plesante	drôle (plaisant)
plesante	plaisant (a., agréable)
plesantería	plaisanterie
plesar	plaire
plesur	plaisir
plica	pli
plicar	plier
plivilegiar	privilégier
plonjar	plonger
plor	larme
plorar	pleurer
plu	davantage
plu	plus
plu bien	mieux
plu bon	meilleur
plu longuemente	davantage
plu mal	pis
plu male	pire
plu viel	aîné
pluma	plume
plumbar	plomber
plumbe	plomb
plural	pluriel (a. et s.)
plure	plusieurs (a.)
plures	plusiers (pron.)
pluri	différents (plusieurs)
pluri	divers (plusieurs)
plus	plus (indiquant addition)
plutosto	plutôt
pluviar	pleuvoir
pluvie	pluie
pluviose	pluvieux
pneumatica	pneumatique (sm., d'auto)
pneumatique	pneumatique (a.)
poche	poche
poco	peu (adv. et pron. neutre)
poco a poco	petit à petit
poco, non ... multo	ne... guère
poem	poème
poeta	poétesse
poete	poète
poetica	poétique (s.)
poetique	poétique (a.)
poi	ensuite
poi	puis
poique	puisque
pol	pôle
polari	polaire
polce	pouce
polemica	polémique (s.)
polemique	polémique (a.)
policero	agent (policier)
policero	policier (s.)
policero	sergent de ville
policía	police (autorité)
policial	policier (a.)
polisar	polir
polisate	poli (uni, lisse)
polite	civil (poli)
polite	honnête (poli)
polite	poli (a., courtois)
politese	politesse
politica	politique (sf.)
politician	politique (sm.)
politique	politique (a.)
polonese	polonais (a. et s.)
Polonia	Pologne
poma	pomme
pomada	pommade
pompe	pompe (apparat)
ponte	pont (de rivière, etc.)
ponte (de nave)	pont (de navire)
poplar	peupler
pople	peuple
poplo	peuplier
populacion	population
populari	populaire (a.)
poque	peu (de)
poque (a)	peu de
poques	peu (pron. plur.)
por	pour
por coi	pourquoi
por sempre	à jamais
porbevar	pourboire
porcelan	porcelaine
porcion	portion
porcion	ration
porque	cochon
porque	porc
porque	pour que
porta	porte (de maison)
porta-folie	portefeuille (grand, de ministre)
porta-folie	serviette (grand portefeuille)
porta-monete	porte-monnaie
portan	cependant
portan	pourtant
portar	porter (vt.)
portar via	emmener
portar via	emporter (enlever)
portar via	enlever (ôter)
portator	porteur
portator de letres	facteur (postal)
porte	port (prix)
portel	guichet (de bureau)
portera	concierge
portero	concierge
portiera	portière (de voiture)
porto	port (de mer)
porto (vin de porto)	porto
portrete	portrait
Portugal	Portugal
portuguese	portugais
posar	poser
posedar	posséder
posedar	tenir (posséder)
posesion	possession
posibilitá	possibilité
posible	possible (a.)
posicion	position
positiv	positif (a., opp. à négatif)
posta	poste (sf.)
postal	postal
postar	poster
poste	poste (sm.)
posterior	postérieur (a.)
posto	poteau
pote	pot
pote a cafe	cafetière
pote a te	théière
potence	puissance
potente	puissant
povar	pouvoir (v. et s.)
povar	puissance (pouvoir)
povrese	pauvreté (état)
pozo	puits
practica	pratique (s.)
practicar	pratiquer
practique	pratique (a.)
prate	pré
pre	près (adv.)
pre	près de (prép.)
pre	proche (adv.)
precaucion	précaution
prece	prix
precedante	précédent (a.)
precedar	précéder
precedente	précédent (s.)
preceptor	gouverneur (précepteur)
preciose	précieux (a., de prix)
precipice	précipice
precipitar	précipiter (vt.)
precisar	préciser
precise	précis (a.)
precisemente	précisément
precision	précision
preda	proie
predica	sermon
predicar	prêcher
predicar	prédire
predicion	prédiction
preface	préface
prefecte	préfet
prefectur	préfecture
preferable	préférable
preferar	préférer
prega	oraison
prega	prière
pregar	prier
prejudicio	préjugé (droit)
prejujamente	préjugé
prendar	louer (une maison)
prendar de	prendre à
prendar via	enlever (ôter)
prendre	prise (action de prendre)
prenome	prénom
preparacion	préparation
preparar	apprêter (préparer)
preparar	auprès de
preparar	parer (préparer)
preparar	préparer
preposicion	préposition
presar	peser (presser)
presar	presser
presbiterio	presbytère
prescribar	ordonner (prescrire)
prescribar	prescrire
prescripcion	prescription
prese	presse
presence	présence
presentacion	présentation
presentar	présenter
presentar	produire (présenter)
presente	présent (a. et s., gram.)
presentimente	pressentiment
preservar	garder (préserver)
preservar	préserver
presidar	présider
presidence	présidence
presidente	président
presidente municipal	maire
presion	pression
presque	à peu près
presque	près (presque)
presque	presque
prestar	prêter (donner en prêt)
preste	prêt (a.)
prestige	prestige (influence)
presto	prêt (s.)
prestre	prêtre
prestresa	prêtresse
presuposar	présupposer
pretencion	prétention
pretenciose	prétentieux
pretendar	prétendre
pretexte	prétexte
prevenar	prévenir (devancer, complaire à)
preventar	prévenir (empêcher)
previdar	prévoir
primer	premier (a.)
primer representacion	première (s., théâtre)
primitiv	primitif (a.)
prince	prince
princesa	princesse
principal	patron (principal)
principal	principal
principato	principauté
principe	principe
prison	prison
prisonera	prisonnière
prisonero	prisonnier
privacion	privation
privar	priver
private	particulier (privé)
privilege	privilège
proba	épreuve
probabilitá	probabilité
probable	probable
probar	éprouver
probar	essayer (un vêtement)
problem	problème
problematique	problématique
procedar	procéder
procede	procédé
procese	procès
procesion	procession
prochan	prochain (a. et s.)
prochan	proche (a.)
proclamacion	proclamation
proclamar	proclamer
procurar	procurer
prodigal	prodigue (a.)
producion	production
productar	engendrer
productar	produire
productar	rapporter (produire)
producte	ouvrage (produit)
producte	produit
productiv	productif
profanar	profaner
profecía	prophétie
profesion	profession
profesional	professionel
profesor	professeur
profete	prophète
profetesa	prophétesse
profil	profil
profitar	profiter (tirer profit)
profite	profit
profonde	profond
profonditá	profondeur
progecion	projection
progectar	projeter
progecte	projet
progectil	projectile
prognosticar	prédire
prognosticar	pronostiquer
prognostico	pronostic (s.)
program	programme
progrese	progrès
prohibar	prohiber
proletario	prolétaire (s.)
prolongar	prolonger
promenada	promenade
promenar	promener
promise	promesse
promise	voeu (promesse)
promitar	promettre
pronome	pronom
pronuncia	prononcer
pronunciacion	prononciation
propaganda	propagande
propagar	propager
proporcion	proportion
proposar	proposer
proposicion	proposition
propre	propre (a.)
proprietá	propriété
proprietaria	propriétaire
proprietario	propriétaire
prosa	prose
prosaíque	prosaïque
prosecuar	poursuivre (droit)
prosecucion	poursuite (droit)
prospecte	prospectus
prosperar	prospérer
prosperitá	prospérité
prostituar	prostituer
protecion	protection
protectante	protecteur (a.)
protectar	protéger
protectiv	protecteur (a.)
protector	patron (protecteur)
protector	protecteur (s.)
protectora	protectrice (s.)
protestante	protestant
protestantisme	protestantisme
protestar	protester
provar	prouver
prove	preuve
provenar	procéder (provenir)
provenzal	provençal
proverbe	proverbe
providar	munir (pourvoir)
providar	pourvoir (vt.)
providence	providence
province	province
provision	provision (chose)
provisori	provisoire (a.)
provocacion	provocation
provocar	provoquer (défier)
prudence	prudence
prudente	prudent
pruna	prune
prurite	prurit
pseudonim	pseudonyme
psicologue	psychologiste
psicologue	psychologue
psiquique	psychique
publicacion	publication
publicarn	publier
publicitá	publicité
publico	public (s.)
publique	public (a.)
pudrar	poudrer
pudre	poudre (de toilette)
pueril	enfantin
pueril	puéril
pugnada	poignée
pugne	poing
pulce	puce
pulmon	poumon
pulmonite	pneumonie
pulsar	pousser (vt.)
pulse	pouls
pulve	poudre (poussière)
pulve	poussière
pulver	poudre (mil., pharm.)
pumpar	pomper
punicion	punition
punisable	punissable
punisar	punir
punta	pointe
puntate	pointu
punte	point (s.)
puntuacion	ponctuation
puntual	ponctuel
puntualitá	ponctualité
puntuar	ponctuer
pupa	poupée
pupil	pupille
pupil	pupille (pers.)
pupila	pupille (pers.)
pupitre	pupitre
pur	pur (a.)
purga	purge (remède)
puritá	pureté
purnal	poignard
purpur	pourpre (s.)
purque	pourvu que
pustul	bulle (pustule)
putridar	pourrir (vi.)
putride	putride
que	lequel, laquelle, lesquel(l)es (pron. rel.)
que	que (conj.)
que	que (pron. rel.)
que	qui (pron. rel.)
quel	lequel, laquelle, lesquel(l)es (après prép et comme pron. interr.)
quel	quel (a. et pron.)
quel	quoi (pron. rel.)
quel (pl.)	que (pron. rel. acc., aussi)
queles	lequel, laquelle, lesquel(l)es (après prép et comme pron. interr.)
queles	que (pron. rel. pl.)
quelunque	quelconque
querel	querelle
querelar	quereller
question	demande (question)
question	question
questionar	demander (questionner)
questionar	questionner
questionario	questionnaire
qui	qui (pron. interr.)
quien	qui (accusatif, aussi)
quilo	kilo
quilogram	kilogramme
quilometre	kilomètre
quimera	chimère
quimía	chimie
quimique	chimique
quiosque	kiosque
quirurgía	chirurgie
quirurgue	chirurgien
quiunque	quiconque
rabate	rabais
rabiar	rager
rabie	rage
race	race
racion	ration
racionar	rationner
racontar	raconter
racontar	réciter (raconter)
raconte	conte
raconte	nouvelle (conte)
raconte	récit
radar	radar (s.)
radiar	radier (vi.)
radiar	rayonner
radiator	radiateur (s.)
radical	radical
radice	racine
radie	rayon (lumière, roue, math.)
radio	radio
radioactiv	radioactif
radiodifusar	radiodiffuser
radiodifusion	radiodiffusion
radioemision	radioémission
radiose	radieux
radiotelegrafía	radiotélégraphie
radise	radis
radium	radium
rafinamente	recherche (raffinement)
rafinar	raffiner
raile	rail
ralentar	ralentir
ramo	branche
rana	grenouille
rancide	rance
rancor	rancune
rangue	ordre (rang)
rangue	rang
rapide	rapide (a.)
rapidemente	vite (adv.)
rapiditá	rapidité
rapiditá	vitesse
rapiezar	rapiécer
raportar	rapporter (faire un rapport)
raporte	rapport (compte rendu)
raporte	relation (compte rendu)
raptar	enlever (une femme)
raptar	ravir (enlever de force)
raquete	raquette (de tennis)
rar	rare
rasar	raser (faire la barbe à)
rate	rat
raton	souris (animal)
rauque	enroué
rauque	rauque
rayar	rayer (faire des raies)
raye	raie (ligne, de cheveux)
razon	raison
razonable	raisonnable
razonamente	raisonnement
razonar	raisonner (vi.)
re	concernant (prép.)
reacion	réaction
reacionari	réactionnaire (a.)
reactar	réagir
real	réel
real	véritable (réel)
realisar	réaliser
realisme	réalisme
realiste	réaliste
realitá	réalité
reapelar	rappeler
reavivar	raviver
rebel	rebelle
rebelar se	se rebeller
recalde	réchaud (à pétrole, etc.)
recente	récent
recentemente	récemment
recentemente	tantôt (naguère)
recentemente	tout à l'heure (récemment)
recepcion	réception
receptor	récepteur (s.)
recevar	recevoir
recevar	toucher (recevoir)
recevator	receveur
recherchar	rechercher
recherche	recherche
recidiva	récidive
reciproque	réciproque
recitacion	récitation
recitar	réciter (déclamer)
reclam	réclame (publicité)
reclamar	réclamer (vt.)
recludar	refermer
recoliar	ramasser (recueillir)
recoliar	recueillir
recoltar	récolter
recolte	moisson
recolte	récolte
recomendacion	recommendation
recomendar	recommander
recomenzar	recommencer
recomenzar	reprendre (vi., recommencer)
recompensar	récompenser
recompense	prix (récompense)
recompense	récompense
reconciliacion	réconciliation
reconciliar	réconcilier
reconductar	reconduire
reconosance	reconnaissance
reconosar	reconnaître
reconstructar	reconstruire
recorde	record
recovrar	recouvrir
recreacion	récréation
recrear	récréer
recte	direct (droit)
recte	droit (a.)
rectemente	droit (adv.)
rector	proviseur
rector	recteur (de l'université)
recular	reculer
recuperar	récupérer
redacion	rédaction
redactar	rédiger
redactor	rédacteur
redactora	rédactrice
redemptor	rédempteur (s., relig.)
redevenar	redevenir
redublar	redoubler (vt., augmenter)
reducion	réduction (diminution)
reductar	réduire (diminuer)
reentrada	rentrée (nouvelle entrée)
reentrar	rentrer (entrer de nouveau)
reenvoyar	renvoyer
referar	référer
referar se a	se rapporter à (se référer à)
reference	référence
reflecion	réflexion
reflectar	réfléchir
reflexar	réfléchir (refléter, aussi)
reflexe	reflet (s.)
reflexion	réflexion (reflet, aussi)
refluxe	reflux
reformar	réformer (améliorer)
reforme	réforme (aussi relig.)
refrenar	réfréner
refrescamente	rafraîchissement
refrescar	rafraîchir
refridamente	refroidissement
refridar	refroidir (vt.)
refrigerator	réfrigérateur
refuge	refuge
refugiar se	se réfugier
refusar	refuser
refuse	refus
regal	royal
regardar	regarder
regarde	regard
regarde	vue (regard)
regata	régate
rege	roi
regectar	rejeter
regente	régent
regim	régime
regimente	régiment
regina	reine
region	pays (région)
region	région
registrar	enregistrer
regla	règle (intr.)
reglamente	règlement
reglar	régler
regle	règle
regnar	régner (dominer)
regne	règne
regno	règne (hist. nat.)
regno	royaume
regretable	fâcheux (a.)
regretable	regrettable
regretar	regretter
regrete	regret
regulari	régulier (a.)
regularitá	régularité
rehabilitar	réhabiliter
Rein	Rhin
rejuntar	rejoindre
relacion	liaison (relation)
relacion	rapport (relation)
relacion	relation
relativ	relatif
religar	relier (livre)
religatur	reliure
religion	religion (doctrine)
religiose	religieux
religiositá	religiosité
remar	nager (ramer)
remar	ramer (vi.)
remarcable	remarquable
remarcar	apercevoir
remarcar	remarquer
remarque	remarque
remediar	remédier
remedio	remède
rememorar	rappeler (remémorer)
remenar	ramener
remitar	remettre
remo	rame (à ramer)
remontar	remonter
remorcar	remorquer
remorse	remords
remplazar	remplacer
remunerar	remunérer
ren	rein
renascance	renaissance
rendar	rendre
renovelar	renouveler
rente	rente
renunciar de	renoncer à (vt.)
renversar	bouleverser
renversar	renverser (vt.)
renversar	verser (renverser)
renversar se	chavirer (vi.)
reparacion	réparation
reparar	réparer
repartar	repartir
repaste	repas
repentante	repentant
repentar	repentir (v.)
repertorio	repertoire
repetar	répéter
repeticion	répétition
replazar	reposer (poser de nouveau, aussi)
replica	réplique
replicar	repartir (répliquer)
replicar	répliquer
reportage	reportage
reportar	rapporter (apporter)
reportero	reporter (s.)
reposar	reposer
repose	repos
reprendar	reprendre (vt.)
reprendre	reprise (prise de nouveau, théâtre, mus.)
represar	réprimer
representacion	représentation
representante	représentant
representar	représenter
representativ	représentatif
reprimandar	réprimander
reprimande	réprimande
reprochar	reprocher
reproche	reproche
reproducion	reproduction
reptar	ramper
reptil	reptile
republica	république
republican	républican
repulsar	repousser (vt.)
reputacion	réputation
resemblance	ressemblance
resemblar	ressembler
reservar	réserver
reservar	retenir (réserver)
reserve	réserve
residence	résidence
resignacion	résignation (morale)
resigner	résigner
resistance	résistance
resistar	résister
resolucion	résolution (décision)
resolute	résolu
resolutese	résolution (de caractère)
resolvar	résoudre (décider)
resonar	résonner
resonar	résonner
resorte	ressort (intr., mobile)
respectable	respectable
respectar	respecter
respecte	respect
respectiv	respectif
respectuose	respectueux
respiracion	respiration
respirar	respirer
respirar	souffler (respirer)
respite	répit
respondar	répondre
responsabilitá	responsabilité
responsable	responsable
response	réponse
restar	demeurer (rester)
restar	rester
restaurante	restaurant
restaurar	restaurer
reste	reste
restituar	restituer
restitucion	restitution
restricion	restriction
restrictar	restreindre
resultar	résulter
resultate	résultat
resumar	résumer
resurce	ressource
retardar	retarder
retarde	retard
rete	filet (tissu de mailles)
rete	réseau
retenar	arrêter
retenar	contenir (retenir)
retenar	garder (retenir)
retenar	retenir (vt.)
retirada	retraite (action)
retirar	retirer
retroactiv	rétroactif
retrovar	retrouver
retuchar	retoucher
returnar	retourner (revenir, renvoyer)
returnar se	se retourner
returne	rentrée (retour)
returne	retour
reumatique	rhumatismal
reumatisme	rhumatisme
reüniar	réunir
reünion	réunion
revelacion	révélation
revelar	révéler
reveliar	réveiller
revelie	réveil
revenar	revenir
revenar a casa	rentrer (chez soi)
revenge	revanche
revenú	revenu
reverence	révérence (inclination)
reverse	envers (s.)
reverse	revers
revidar	revoir (v. et s.)
revide	revue (examen)
revisar	reviser
revision	revision
revisor	reviseur
revivar	revivre
revoltar	révolter
revolte	révolte
revolucion	révolution
revolucionar	révolutionner
revolucionari	révolutionnaire (a.)
revolucionario	révolutionnaire (s.)
revolver	revolver
revú	revue (théâtre, mil., périodique)
rice	riz
riche	riche
richese	richesse
ridar	rire (v.)
ride	rire (s.)
ridicul	ridicule (a.)
ridiculisar	ridiculiser
rigide	raide (a., rigide)
rigor	rigueur
rigorose	rigoureux
rima	rime
rimar	rimer
rinsar	rincer
riscar	risquer
risible	risible
risque	risque
ritme	rythme
riva	rive
rival	rival
rivalisar	rivaliser
rivalitá	rivalité
riverete	ruisseau
robe	robe
robinete	robinet
rocose	rocheux
rodar	ronger
role	rôle (théâtre, fig.)
Roma	Rome
roman	romain (a.)
roman	roman (s.)
romanique	roman (a.)
romantique	romanesque (a.)
roncar	ronfler
ronda	ronde (tournée)
ronde	rond (a.)
rondo	rond (s.)
roque	roc
roque	roche
roque	rocher
rosa	rose (sf.)
rosbife	rosbif
rose	rose (a.)
rose, color de rosa	rose (sm.)
rosea	rosée
rosignol	rossignol (zool.)
rostar	rôtir (vt.)
rostato	rôti (s.)
rota	roue
rota volante	volant (s., d'auto)
rotacion	rotation
ruban	ruban
ruban de seta	faveur (ruban)
rubin	rubis
rubrica	rubrique (titre)
rucular	roucouler (vi).
rude	rude (a.)
ruga	pli (fronce)
ruga	ride
rugar	froncer
rugar	rider
ruge	rouge
rugese	rougeur
rugin	rouille
ruginose	rouilleux
rugisar	rugir
rugose	ridé
rugose	rugueux
ruin	perte (ruine)
ruin	ruine
ruinar	perdre (ruiner)
ruinar	ruiner
ruisel	ruisseau (de rue)
rujar	rougir
rular	rouler
rule	rouleau (cylindre)
rulete	roulette
ruman	roumain
Rumania	Roumanie
rumor	bruit (rumeur)
rumor	rumeur (bruit)
ruptar	briser
ruptar	casser (rompre)
ruptar	rompre
ruptur	rupture
ruse	roux
Rusia	Russie
rusian	russe
rustique	rustique
rutin	routine
sable	sable
sabotage	sabotage
sabre	sabre
saciar	rassasier
saco	poche (sac)
saco	sac
sacramente	sacrement
sacre	sacré
sacrificar	sacrifier
sacrifice	sacrifice
sadique	sadique
sadisme	sadisme
safir	saphir
sagace	sagace
sagacitá	sagacité
sage	sage
sagese	sagesse
sal	sel
sala	salle (grande)
sala de gimnastica	gymnase
salada	salade
salar	saler
salario	salaire
salate	salé (a.)
saliar	saillir (vi.)
saliar	sortir (saillir)
salicilique	salicylique
saliva	salive
salmon	saumon
salon	salon
salsa	sauce
salsiche	saucisse
saltar	bondir
saltar	sauter
salte	bond
salte	saut
salubre	salubre
salutacion	salut (salutation)
salutacion	salutation
salutar	saluer
salute	santé (d'une pers.)
saluto	salut (salutation)
saluto	salut (mil.)
salva	salve
salvacion	salut
salvage	sauvage
salvar	sauver
salvator	sauveur (s.)
samdi	samedi
san	sain
sandal	sandale
sanduiche	sandwich
sangar	saigner
sangose	sanglant
sangue	sang
sangue-fride	sang-froid
sanitá	santé
sanitari	sanitaire
sante	saint
